YEAR,QTR,INTDIFF,lrexr,lusprod,lusdisrat,ldisrat,ltot,t
1987,Q1,-0.55,-2.589406717,-7.648465307,-0.132664084,-0.231109598,-0.012484557,57
1987,Q2,0.2,-2.620204299,-7.652917791,-0.130287236,-0.236265608,-0.023299644,58
1987,Q3,0.82,-2.619835263,-7.672869489,-0.128423361,-0.228781072,-0.050911056,59
1987,Q4,0.38,-2.487960004,-7.649542948,-0.141625953,-0.234052214,-0.018497637,60
1988,Q1,0.58,-2.53246865,-7.633656063,-0.136356962,-0.236489975,-0.010268202,61
1988,Q2,-0.02,-2.628438355,-7.652445698,-0.139391846,-0.232954422,-0.0277154,62
1988,Q3,0.28,-2.668380449,-7.655577995,-0.139515588,-0.23260285,-0.014688147,63
1988,Q4,0.32,-2.590003718,-7.643959078,-0.138566646,-0.23475358,-0.012753796,64
1989,Q1,-0.15,-2.642974767,-7.624957692,-0.143952035,-0.234184965,-0.019756598,65
1989,Q2,0.64,-2.659592318,-7.631520159,-0.140011125,-0.229393372,-0.045809536,66
1989,Q3,1,-2.626157247,-7.651523916,-0.135573597,-0.229053376,-0.023202897,67
1989,Q4,1.73,-2.54627446,-7.643344694,-0.136705451,-0.233461716,-0.024527428,68
1990,Q1,1.95,-2.525500354,-7.613646852,-0.128288631,-0.237427952,-0.002094242,69
1990,Q2,1.4,-2.506142668,-7.63323784,-0.12796548,-0.232140742,0.0158314652,70
1990,Q3,1.78,-2.46239725,-7.653117524,-0.125550537,-0.231006297,0.0238342961,71
1990,Q4,2.51,-2.423775687,-7.652370001,-0.11515583,-0.220145159,-0.033624249,72
1991,Q1,2.09,-2.530890929,-7.637181766,-0.117306738,-0.221786269,0.0349256829,73
1991,Q2,3.35,-2.583798728,-7.639504181,-0.11677681,-0.2195328,0.0320883146,74
1991,Q3,2.83,-2.500235392,-7.654244075,-0.118202235,-0.226774575,0.0440221375,75
1991,Q4,2.67,-2.414931794,-7.6447434,-0.119393429,-0.224793113,0.0343815462,76
1992,Q1,2.56,-2.480918384,-7.614699809,-0.114124934,-0.21776886,0.0608090046,77
1992,Q2,3.15,-2.40705504,-7.635577756,-0.110350031,-0.210674128,0.0404504085,78
1992,Q3,5.34,-2.472066983,-7.631721951,-0.111965129,-0.208343831,0.0581947681,79
1992,Q4,5.41,-2.644116144,-7.613156694,-0.164163345,-0.21120414,0.0390929258,80
1993,Q1,5.89,-2.723723066,-7.603676988,-0.167890529,-0.214172532,0.0476557341,81
1993,Q2,5.24,-2.685246965,-7.627145111,-0.1661045,-0.221684525,0.0364882933,82
1993,Q3,2.84,-2.704442996,-7.636727811,-0.165655633,-0.216052515,0.0610518201,83
1993,Q4,1.97,-2.775323642,-7.61853751,-0.169755701,-0.217931721,0.0413181493,84
1994,Q1,1.05,-2.712691409,-7.60357745,-0.173219909,-0.214864819,0.0570196887,85
1994,Q2,1.13,-2.696286043,-7.617525733,-0.176857656,-0.221794603,0.047054004,86
1994,Q3,3.11,-2.679570161,-7.627556407,-0.174230718,-0.223340576,0.0493927553,87
1994,Q4,2.76,-2.717923234,-7.619130947,-0.176067994,-0.223997567,0.0200452146,88
1995,Q1,3.96,-2.759685317,-7.602467711,-0.177826163,-0.238435553,0.0022050726,89
1995,Q2,3.79,-2.708226182,-7.627317009,-0.17173138,-0.236278616,-0.006424005,90
1995,Q3,2.43,-2.685310714,-7.624988285,-0.176192355,-0.236806254,0.0275950059,91
1995,Q4,2.74,-2.662020159,-7.624537357,-0.178334581,-0.239844534,0.0859424298,92
1996,Q1,2.23,-2.651081097,-7.593509953,-0.171816814,-0.243455029,0.0593270693,93
1996,Q2,1.66,-2.62652253,-7.60084988,-0.173699742,-0.235510602,0.0408617157,94
1996,Q3,2,-2.624672911,-7.612533359,-0.174329172,-0.237824605,0.0659793082,95
1996,Q4,1.79,-2.630683911,-7.604866158,-0.177768119,-0.231436298,0.0559451561,96
1997,Q1,1.38,-2.721890003,-7.583069983,-0.181627668,-0.2190923,0.0582891308,97
1997,Q2,1.15,-2.734307087,-7.596789043,-0.187736636,-0.232487725,0.0524464754,98
1997,Q3,0.69,-2.752325552,-7.595232132,-0.184023568,-0.235661979,0.0508396768,99
1997,Q4,0.01,-2.768944884,-7.589093961,-0.183636341,-0.24033944,0.0495257287,100
